Model,rsdt,rsut,rlut,rsutcs,rlutcs,tas
BCC-CSM2-MR,338.41,95.84,247.93,45.54,274.07,292.11
CESM2,340.35,95.70,248.10,50.06,270.88,291.61
CNRM-CM6-1,340.56,99.90,245.74,51.26,268.99,291.71
CanESM5,340.33,95.59,247.01,51.03,273.77,292.36
GFDL-CM4,340.37,99.86,247.50,51.35,271.69,291.62
HadGEM3-GC31-LL,340.43,92.74,252.90,53.85,272.65,292.00
IPSL-CM6A-LR,341.74,98.37,246.21,51.82,270.01,291.37
MRI-ESM2-0,340.36,96.67,248.82,53.98,272.07,292.19
TaiESM1,340.35,94.89,251.16,49.18,271.57,291.69
Mean,340.32,96.62,248.37,50.90,271.75,291.85
Standard deviation,0.85,2.37,2.32,2.54,1.65,0.33
